run,plan_id,phase,module,model,prompt,prompt_version,parsed_ok,attempts,retries,error,latency_ms,tokens_in,tokens_out,created_at
81,9,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,6942,3738,2455,2026-09-23T18:43:49.000126
82,9,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,19119,4817,1836,2026-09-23T18:43:49.000128
83,9,module,M01,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8406,1096,2806,2026-09-23T18:44:15.123489
84,9,module,M02,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8908,1588,3156,2026-09-23T18:44:15.653661
85,9,module,M03,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8876,1313,3232,2026-09-23T18:44:18.066990
86,9,module,M04,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8284,1246,2796,2026-09-23T18:44:20.149369
87,9,module,M05,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,9210,1365,3141,2026-09-23T18:44:22.267102
88,9,module,M06,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,22308,1117,2958,2026-09-23T18:44:24.353434
89,9,module,M07,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8859,1596,2900,2026-09-23T18:44:26.437776
90,9,module,M08,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,7602,1051,2566,2026-09-23T18:44:28.507125
91,10,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,6441,3303,2190,2026-09-23T18:45:19.392007
92,10,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,6820,3778,2312,2026-09-23T18:45:19.392019
93,10,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,6444,4750,2178,2026-09-23T18:45:19.392022
94,10,module,M01,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10395,1481,3815,2026-09-23T18:45:46.708968
95,10,module,M02,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8055,1177,2583,2026-09-23T18:45:47.949332
96,10,module,M03,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8866,1323,3122,2026-09-23T18:45:50.056651
97,10,module,M04,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,11641,1447,3727,2026-09-23T18:45:52.173502
98,10,module,M05,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,20193,1396,2749,2026-09-23T18:45:54.508199
99,10,module,M06,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8661,1113,3111,2026-09-23T18:45:56.636840
100,10,module,M07,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,9770,1157,2630,2026-09-23T18:45:58.726491
101,10,module,M08,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,9657,1134,3302,2026-09-23T18:46:01.265523
102,11,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,6398,3329,2192,2026-09-23T18:47:19.282299
103,11,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,7096,3804,2307,2026-09-23T18:47:19.282309
104,11,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,10172,5273,2568,2026-09-23T18:47:19.282311
105,11,module,M01,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,16177,1359,2602,2026-09-23T18:47:42.088744
106,11,module,M02,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10608,1434,3217,2026-09-23T18:47:42.901983
107,11,module,M03,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,16453,1636,4053,2026-09-23T18:47:46.163094
108,11,module,M04,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,11823,1411,2653,2026-09-23T18:47:49.420133
109,11,module,M05,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,15885,1112,2873,2026-09-23T18:47:53.035272
110,11,module,M06,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,13451,1313,3543,2026-09-23T18:47:57.019064
